method,coverage_80,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_90,avg_width_95,cal_error_80,cal_error_90,cal_error_95,calibration_error,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,interval_scale_80,interval_scale_90,interval_scale_95,subgroup_type,subgroup,n
financial_only,0.41509433962264153,0.875,0.9858490566037735,0.3025812248980521,0.08386968995690486,0.2961594079190619,0.5277145768181896,0.3849056603773585,0.025000000000000022,0.03584905660377358,0.14858490566037738,0.0340465444613348,0.046467779157730815,0.49056603773584906,0.483670933513394,0.022982872094848467,0.0015153572592159648,1.0,1.0,1.0,volatility_band,high_vol,424
financial_only,0.25259515570934254,0.9584775086505191,0.9896193771626297,0.3326957367463714,0.051447406501402906,0.37308856300932314,0.5735512407283881,0.5474048442906575,0.05847750865051904,0.039619377162629754,0.21516724336793544,0.04360856900367665,0.05608502320602346,0.5155709342560554,0.48727424499208294,0.035716322698999194,0.0032070890277448626,1.0,1.0,1.0,volatility_band,low_vol,289
sentiment_only,0.4894810659186536,0.9943899018232819,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.31051893408134645,0.09438990182328189,0.050000000000000044,0.15163627863487614,0.06166259452353573,0.07109180987069916,0.4684431977559607,0.4851314622894686,0.04694119740511504,0.006069698655664686,1.0,1.0,1.0,attention_volume_band,medium_attention,713
sentiment_only,0.48214285714285715,1.0,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.3178571428571429,0.09999999999999998,0.050000000000000044,0.15595238095238098,0.06579519343150812,0.07931780256381701,0.42857142857142855,0.4899921848870029,0.04694119740511504,0.006413893256486942,1.0,1.0,1.0,surprise_band,high_surprise,56
sentiment_only,0.4928131416837782,0.9938398357289527,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.30718685831622183,0.09383983572895271,0.050000000000000044,0.15034223134839153,0.06034114954605755,0.06808151605812755,0.4722792607802875,0.4850284158274032,0.04694119740511504,0.005950677069985622,1.0,1.0,1.0,surprise_band,low_surprise,487
sentiment_only,0.4823529411764706,0.9941176470588236,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.31764705882352945,0.09411764705882353,0.050000000000000044,0.15392156862745102,0.06408681902462644,0.07646339422047572,0.47058823529411764,0.4838254808869031,0.04694119740511504,0.006297278741427383,1.0,1.0,1.0,surprise_band,medium_surprise,170
sentiment_only,0.46226415094339623,1.0,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.3377358490566038,0.09999999999999998,0.050000000000000044,0.16257861635220128,0.06344364690936208,0.072580695129258,0.4339622641509434,0.483670933513394,0.046941197405115036,0.006267196088432154,1.0,1.0,1.0,volatility_band,high_vol,424
sentiment_only,0.5294117647058824,0.986159169550173,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.2705882352941177,0.086159169550173,0.050000000000000044,0.13558246828143025,0.059049562649520604,0.06884917809084688,0.5190311418685121,0.48727424499208294,0.04694119740511504,0.005779944636656361,1.0,1.0,1.0,volatility_band,low_vol,289
full_multimodal,0.638148667601683,0.8892005610098177,0.9565217391304348,0.17985664764458384,0.08100236897836184,0.17147064887556715,0.28709692507982254,0.16185133239831706,0.01079943899018232,0.006521739130434856,0.059724170172978076,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,1.0,1.0,1.0,attention_volume_band,medium_attention,713
full_multimodal,0.5178571428571429,0.875,0.9642857142857143,0.2054932663228274,0.0873853306485606,0.1877705060178414,0.34132396230208023,0.28214285714285714,0.025000000000000022,0.014285714285714346,0.10714285714285716,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,1.0,1.0,1.0,surprise_band,high_surprise,56
full_multimodal,0.6940451745379876,0.9158110882956879,0.9589322381930184,0.17656063797713487,0.07907281148972208,0.17051818671022415,0.28009091573145845,0.1059548254620124,0.015811088295687892,0.008932238193018471,0.043566050650239586,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,1.0,1.0,1.0,surprise_band,low_surprise,487
full_multimodal,0.5176470588235295,0.8176470588235294,0.9470588235294117,0.180853742127325,0.08442736099857617,0.1688298081376535,0.28930405724574537,0.2823529411764706,0.08235294117647063,0.002941176470588225,0.12254901960784315,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,1.0,1.0,1.0,surprise_band,medium_surprise,170
full_multimodal,0.7028301886792453,0.9033018867924528,0.9716981132075472,0.21245200772266015,0.10151450267448178,0.19259383358535762,0.34324768690814106,0.09716981132075475,0.0033018867924528017,0.02169811320754722,0.04072327044025159,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,1.0,1.0,1.0,volatility_band,high_vol,424
full_multimodal,0.5432525951557093,0.8685121107266436,0.9342560553633218,0.1320350813016622,0.050908442725230874,0.14048023255393682,0.2047165686258189,0.2567474048442907,0.03148788927335644,0.015743944636678164,0.10132641291810844,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,1.0,1.0,1.0,volatility_band,low_vol,289
naive_conformal,0.8246844319775596,0.9298737727910238,0.9649368863955119,0.21506792514934583,0.13001001571784473,0.2087268897202937,0.30646687000989914,0.02468443197755954,0.029873772791023767,0.014936886395511939,0.02316503038803175,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,1.0,1.0,1.0,attention_volume_band,medium_attention,713
naive_conformal,0.7142857142857143,0.9285714285714286,0.9642857142857143,0.24070454382758943,0.13639297738804348,0.22502674686256796,0.36069390723215683,0.08571428571428574,0.02857142857142858,0.014285714285714346,0.04285714285714289,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,1.0,1.0,1.0,surprise_band,high_surprise,56
naive_conformal,0.8542094455852156,0.9425051334702259,0.9671457905544147,0.2117719154818969,0.12808045822920497,0.2077744275549507,0.29946086066153504,0.054209445585215565,0.042505133470225887,0.017145790554414786,0.037953456536618746,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,1.0,1.0,1.0,surprise_band,low_surprise,487
naive_conformal,0.7764705882352941,0.8941176470588236,0.9588235294117647,0.21606501963208702,0.13343500773805905,0.20608604898238006,0.30867400217582197,0.02352941176470591,0.00588235294117645,0.008823529411764786,0.012745098039215716,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,1.0,1.0,1.0,surprise_band,medium_surprise,170
naive_conformal,0.8443396226415094,0.9363207547169812,0.9764150943396226,0.24766328522742218,0.15052214941396466,0.22985007443008418,0.36261763183821766,0.04433962264150937,0.03632075471698115,0.026415094339622636,0.035691823899371054,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,1.0,1.0,1.0,volatility_band,high_vol,424
naive_conformal,0.7958477508650519,0.9204152249134948,0.9480968858131488,0.16724635880642422,0.09991608946471375,0.17773647339866339,0.2240865135558955,0.0041522491349481605,0.02041522491349479,0.0019031141868511847,0.008823529411764711,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,1.0,1.0,1.0,volatility_band,low_vol,289
event_conditioned_conformal,0.8457223001402524,0.9312762973352033,0.9719495091164095,0.2307564292914596,0.14022746836305514,0.22018980500493382,0.3318520145063899,0.04572230014025236,0.03127629733520332,0.021949509116409582,0.03298270219728842,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.975,0.93,0.79,attention_volume_band,medium_attention,713
event_conditioned_conformal,0.9285714285714286,0.9821428571428571,1.0,0.34085681921181576,0.2123538654663467,0.32959908349106887,0.48061750867803177,0.12857142857142856,0.08214285714285707,0.050000000000000044,0.08690476190476189,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,0.975,0.93,0.79,surprise_band,high_surprise,56
event_conditioned_conformal,0.8357289527720739,0.9383983572895277,0.973305954825462,0.2174031826443358,0.12294357069356854,0.20835926355434548,0.32090671368509344,0.035728952772073885,0.038398357289527674,0.02330595482546205,0.032477754962354534,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,0.975,0.93,0.79,surprise_band,low_surprise,487
event_conditioned_conformal,0.8470588235294118,0.8941176470588236,0.9588235294117647,0.23274118977151448,0.1659814679351471,0.2180401231885395,0.3142019781908568,0.04705882352941171,0.00588235294117645,0.008823529411764786,0.020588235294117647,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,0.975,0.93,0.79,surprise_band,medium_surprise,170
event_conditioned_conformal,0.8938679245283019,0.9551886792452831,0.9905660377358491,0.2820905828385822,0.1738785423387835,0.2619396018857172,0.4104536042912459,0.09386792452830184,0.055188679245283034,0.0405660377358491,0.06320754716981132,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,0.975,0.93,0.79,volatility_band,high_vol,424
event_conditioned_conformal,0.7750865051903114,0.8961937716262975,0.9446366782006921,0.1554426538451621,0.09085703457167507,0.15893750785112018,0.21653341911269103,0.02491349480968863,0.0038062283737024805,0.005363321799307874,0.011361014994232995,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,0.975,0.93,0.79,volatility_band,low_vol,289
normalized_conformal_width,0.8260869565217391,0.9256661991584852,0.9607293127629734,0.2195818177816001,0.14928543457121218,0.2129636413329582,0.29649637744062984,0.02608695652173909,0.025666199158485226,0.010729312762973398,0.020827489481065904,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,1.0,1.0050000000000001,0.935,attention_volume_band,medium_attention,713
