method,coverage_80,coverage_85,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_85,avg_width_90,avg_width_95,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,subgroup_type,subgroup,n
sentiment_only,0.8938679245283019,0.9929245283018868,1.0,1.0,0.5416042022407055,0.17457370460033417,0.30751195549964905,0.7451083064079285,0.9392228424549103,0.03197134199876499,0.04508208369228834,0.4339622641509434,0.9000000000000001,0.13879659706952285,0.12014328229422809,volatility_band,high_vol,424
sentiment_only,0.9100346020761245,0.9792387543252595,1.0,1.0,0.5416042022407055,0.17457370460033417,0.30751195549964905,0.7451083064079285,0.9392228424549103,0.03185115579150538,0.04951064534385074,0.5190311418685121,0.9000000000000001,0.13879659706952285,0.11969164140198087,volatility_band,low_vol,289
full_multimodal,0.5525946704067322,0.8569424964936886,0.9635343618513323,0.9929873772791024,0.2800098112565537,0.07554348441804817,0.16667827008211095,0.3059307724409861,0.5718867180850696,0.03399001276935695,0.048714042434084066,0.514726507713885,0.9000000000000002,0.027007638592367468,0.3536059682620547,attention_volume_band,medium_attention,713
full_multimodal,0.44642857142857145,0.8214285714285714,0.9642857142857143,1.0,0.33719540822286426,0.09863237770540374,0.21158973014514362,0.37739917492893127,0.6611603501119784,0.03795497231996186,0.05175403135690175,0.5892857142857143,0.9000000000000001,0.04040835336169924,0.3033411786436599,surprise_band,high_surprise,56
full_multimodal,0.5667351129363449,0.8624229979466119,0.9691991786447639,0.9917864476386037,0.2713580964777611,0.07197882770512873,0.1585833538262445,0.2973197492516506,0.5575504551280206,0.03173031437184324,0.04615461639363837,0.5133470225872689,0.9000000000000004,0.025381101817114466,0.34048744650088475,surprise_band,low_surprise,487
full_multimodal,0.5470588235294118,0.8529411764705882,0.9470588235294117,0.9941176470588236,0.28595682106336906,0.07814942438922384,0.17507346098256463,0.3070562886402887,0.5835481102413991,0.03915727973850581,0.05447958939949769,0.49411764705882355,0.9000000000000004,0.027252834959812375,0.4077444877698186,surprise_band,medium_surprise,170
full_multimodal,0.5542452830188679,0.875,0.9882075471698113,1.0,0.31225381967422705,0.0726684047181581,0.17129956104985947,0.3582357568139175,0.6468115561149733,0.03468028791840485,0.04700766067398545,0.5471698113207547,0.9000000000000001,0.03548463802973427,0.29143847239280635,volatility_band,high_vol,424
full_multimodal,0.5501730103806228,0.8304498269896193,0.9273356401384083,0.9826989619377162,0.23270372278218168,0.0797615944275755,0.15989824457925497,0.22919266388000709,0.4619623882418892,0.03297729075137666,0.05111453167170518,0.4671280276816609,0.9000000000000001,0.014570795127164967,0.44481364386261285,volatility_band,low_vol,289
naive_conformal,0.8260869565217391,0.879382889200561,0.9200561009817672,0.9607293127629734,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.045269494702356874,0.06281442601949969,0.47545582047685836,0.9000000000000002,0.027007638592367468,0.4747417579059182,attention_volume_band,medium_attention,713
naive_conformal,0.7678571428571429,0.7857142857142857,0.8214285714285714,0.8392857142857143,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.06550206620990398,0.09278261739712401,0.5535714285714286,0.9000000000000001,0.04040835336169924,0.5169307695505291,surprise_band,high_surprise,56
